ID,Gene Name,Species
ENSG00000173786,"2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)",Homo sapiens
ENSG00000162813,"3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)",Homo sapiens
ENSG00000134240,3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2),Homo sapiens
ENSG00000083720,3-oxoacid CoA-transferase 1(OXCT1),Homo sapiens
ENSG00000183044,4-aminobutyrate aminotransferase(ABAT),Homo sapiens
ENSG00000088930,5'-3' exoribonuclease 2(XRN2),Homo sapiens
ENSG00000138363,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC),Homo sapiens
ENSG00000157219,5-hydroxytryptamine receptor 5A(HTR5A),Homo sapiens
ENSG00000158748,5-hydroxytryptamine receptor 6(HTR6),Homo sapiens
ENSG00000116984,5-methyltetrahydrofolate-homocysteine methyltransferase(MTR),Homo sapiens
ENSG00000170525,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)",Homo sapiens
ENSG00000150787,6-pyruvoyltetrahydropterin synthase(PTS),Homo sapiens
ENSG00000108798,ABI family member 3(ABI3),Homo sapiens
ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)",Homo sapiens
ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)",Homo sapiens
ENSG00000151694,ADAM metallopeptidase domain 17(ADAM17),Homo sapiens
ENSG00000008277,ADAM metallopeptidase domain 22(ADAM22),Homo sapiens
ENSG00000114948,ADAM metallopeptidase domain 23(ADAM23),Homo sapiens
ENSG00000178031,ADAMTS like 1(ADAMTSL1),Homo sapiens
ENSG00000101544,ADNP homeobox 2(ADNP2),Homo sapiens
ENSG00000168374,ADP ribosylation factor 4(ARF4),Homo sapiens
ENSG00000165527,ADP ribosylation factor 6(ARF6),Homo sapiens
ENSG00000169379,ADP ribosylation factor like GTPase 13B(ARL13B),Homo sapiens
ENSG00000138175,ADP ribosylation factor like GTPase 3(ARL3),Homo sapiens
ENSG00000145375,AFG2 AAA ATPase homolog A(AFG2A),Homo sapiens
ENSG00000141385,AFG3 like matrix AAA peptidase subunit 2(AFG3L2),Homo sapiens
ENSG00000186094,AGBL carboxypeptidase 4(AGBL4),Homo sapiens
ENSG00000142208,AKT serine/threonine kinase 1(AKT1),Homo sapiens
ENSG00000105221,AKT serine/threonine kinase 2(AKT2),Homo sapiens
ENSG00000117020,AKT serine/threonine kinase 3(AKT3),Homo sapiens
ENSG00000155966,ALF transcription elongation factor 2(AFF2),Homo sapiens
ENSG00000196711,ALK and LTK ligand 1(ALKAL1),Homo sapiens
ENSG00000189292,ALK and LTK ligand 2(ALKAL2),Homo sapiens
ENSG00000171094,ALK receptor tyrosine kinase(ALK),Homo sapiens
ENSG00000154856,APC down-regulated 1(APCDD1),Homo sapiens
ENSG00000115266,APC regulator of WNT signaling pathway 2(APC2),Homo sapiens
ENSG00000134982,APC regulator of WNT signaling pathway(APC),Homo sapiens
ENSG00000106948,AT-hook transcription factor(AKNA),Homo sapiens
ENSG00000117713,AT-rich interaction domain 1A(ARID1A),Homo sapiens
ENSG00000049618,AT-rich interaction domain 1B(ARID1B),Homo sapiens
ENSG00000167654,ATCAY kinesin light chain interacting caytaxin(ATCAY),Homo sapiens
ENSG00000149311,ATM serine/threonine kinase(ATM),Homo sapiens
ENSG00000107331,ATP binding cassette subfamily A member 2(ABCA2),Homo sapiens
ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group)(ABCB6),Homo sapiens
ENSG00000006071,ATP binding cassette subfamily C member 8(ABCC8),Homo sapiens
ENSG00000101986,ATP binding cassette subfamily D member 1(ABCD1),Homo sapiens
ENSG00000173208,ATP binding cassette subfamily D member 2(ABCD2),Homo sapiens
ENSG00000154723,ATP synthase peripheral stalk subunit F6(ATP5PF),Homo sapiens
ENSG00000116459,ATP synthase peripheral stalk-membrane subunit b(ATP5PB),Homo sapiens
ENSG00000135049,ATP/GTP binding carboxypeptidase 1(AGTPBP1),Homo sapiens
ENSG00000159720,ATPase H+ transporting V0 subunit d1(ATP6V0D1),Homo sapiens
ENSG00000182220,ATPase H+ transporting accessory protein 2(ATP6AP2),Homo sapiens
ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2(ATP1A2),Homo sapiens
ENSG00000129244,ATPase Na+/K+ transporting subunit beta 2(ATP1B2),Homo sapiens
ENSG00000165240,ATPase copper transporting alpha(ATP7A),Homo sapiens
ENSG00000132932,ATPase phospholipid transporting 8A2(ATP8A2),Homo sapiens
ENSG00000081923,ATPase phospholipid transporting 8B1(ATP8B1),Homo sapiens
ENSG00000054793,ATPase phospholipid transporting 9A (putative)(ATP9A),Homo sapiens
ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1(ATP2B1),Homo sapiens
ENSG00000157087,ATPase plasma membrane Ca2+ transporting 2(ATP2B2),Homo sapiens
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4(ATP2B4),Homo sapiens
ENSG00000085224,ATRX chromatin remodeler(ATRX),Homo sapiens
